"OTU","Abundance","Sample","Group"
"o__Pasteurellales",0.0389086014927199,"SRR10802231","GERD"
"o__Saccharimonadales",0.038878842676311,"SRR10802245","Health"
"o__Peptostreptococcales-Tissierellales",0.0388007054673721,"SRR10802244","Health"
"o__Burkholderiales",0.0387990762124711,"SRR10802221","Health"
"o__Micrococcales",0.0384290540540541,"SRR10802232","GERD"
"o__Pasteurellales",0.0383281972265023,"SRR10802235","GERD"
"o__Veillonellales-Selenomonadales",0.0382165605095541,"SRR10802240","GERD"
"o__Actinomycetales",0.0382061311743837,"SRR10802227","GERD"
"o__Actinomycetales",0.0381174640217814,"SRR10802225","Health"
"o__Lachnospirales",0.0377332219437483,"SRR10802234","GERD"
"o__Pasteurellales",0.0376057254391672,"SRR10802230","GERD"
"o__Pasteurellales",0.037593984962406,"SRR10802234","GERD"
"o__Flavobacteriales",0.0374327440430438,"SRR10802233","Health"
"o__Pasteurellales",0.0371100164203612,"SRR10802222","Health"
"o__Pasteurellales",0.036967182195398,"SRR10802241","GERD"
"o__Peptostreptococcales-Tissierellales",0.0367657221838286,"SRR10802239","GERD"
"o__Actinomycetales",0.0366492146596859,"SRR10802237","GERD"
"o__Micrococcales",0.0365719017388904,"SRR10802243","Health"
"o__Peptostreptococcales-Tissierellales",0.0364615196378319,"SRR10802231","GERD"
"o__Burkholderiales",0.036174365647365,"SRR10802230","GERD"
"o__Saccharimonadales",0.0355244392583949,"SRR10802225","Health"
"o__Actinomycetales",0.035458317615994,"SRR10802241","GERD"
"o__Burkholderiales",0.0352677518282614,"SRR10802223","Health"
"o__Micrococcales",0.0346420323325635,"SRR10802221","Health"
"o__Pasteurellales",0.0345087402049427,"SRR10802245","Health"
"o__Peptostreptococcales-Tissierellales",0.0344827586206897,"SRR10802230","GERD"
"o__Pasteurellales",0.0331330472103004,"SRR10802224","Health"
"o__Pasteurellales",0.0330263157894737,"SRR10802220","Health"
"o__Actinomycetales",0.0330049261083744,"SRR10802222","Health"
"o__Saccharimonadales",0.0329758929291301,"SRR10802240","GERD"
